Name,Type,Description,Status,Ownership,Management,Coordination,Address,Acres,Location,County,GPS Coordinates,Plus Code,Trail Role,Parent Trail Name,Trail Segment Type,Trail Access Type,Trail Length (Miles),Features,Notes,URL,
Riverside Park,Municipal Park,Trail access; river corridor access; open green space,Active,City of Dayton,City of Dayton,,"Great Miami River, Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,https://www.miamivalleytrails.org/trails/great-miami-river-trail,
Riverside Veterans Memorial,Municipal Park,Memorial plaza with monuments and flag display,Active,City of Riverside,City of Riverside,,"1791 Harshman Rd, Riverside, OH 45424",,Riverside,Montgomery,,,None,,None,None,,,,https://www.riversideoh.gov,
Riverview Park,Municipal Park,Playground; picnic tables; grills; shelters,Active,City of Moraine,City of Moraine,,3021 Lakehurst Court,1,Moraine,Montgomery,,,None,,None,None,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052,
Robert F. Mays Park,Park District Park,"Community park with fields, paved loop, playground, shelter, native plantings, and parking",Active,Centerville–Washington Park District,Centerville–Washington Park District,,10553 Paragon Rd.,23.204,Centerville,Montgomery,,,,,,,,Paved multi-use trail (.75-mile loop),AED; grill; hitting wall; restrooms; major donor support,https://cwpd.org/parks/robert-f-mays/,
Robinette Park,Municipal Park,Community park with two playgrounds; paved walking path; courts; sand volleyball; large greenspace,Active,City of Vandalia,City of Vandalia,,"Enola Ct, Vandalia, OH 45377",2.7,Vandalia,Montgomery,"39.8885,-84.2030",,None,,None,None,,,,https://vandaliaohio.org/Facilities/Facility/Details/Robinette-Park-7,
Rohrer Park,Municipal Park,"Community park with pump track, walking path, playgrounds, courts, and picnic amenities",Active,City of Riverside,City of Riverside,,"720 Rohrer Boulevard, Riverside, OH 45404",22,Riverside,Montgomery,,,None,,None,None,0.75,Playground;Pump Track;Basketball Court;Baseball Diamond;Walking Path;Picnic Shelter;Restroom;Water Fountain;Grill,,https://cms3.revize.com/revize/riverside/Parks%20&%20Recreation%20Amenities.pdf?t=202508061644210&t=202508061644210,
Rooks Ravine Park,Park District Park,Nature park with open meadow surrounded by woods; includes a stream,Active,Centerville–Washington Park District,Centerville–Washington Park District,,9100 Rooks Road,5.16,Centerville,Montgomery,,,None,,None,None,,Stream; acquired via open space transfer in 1981,https://cwpd.org/parks/rooks-ravine/,,
Roscoe Roof Park,Municipal Park,"Largest park in Carlisle with two playgrounds, shelters, walking trail, Memorial Tree path, restrooms, and adaptive swing seat",Active,Village of Carlisle,Village of Carlisle,,601 Beachler Rd. or 400 Central Ave.,,Carlisle,Montgomery,,,None,,None,None,,,,https://www.carlisleoh.org/community/parks_recreation/index.php,
Rosedale Drive Green,Municipal Park,No listed amenities,Active,City of Dayton,City of Dayton,,"Rosedale Dr., Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,,
Rosewood Park,Park District Park,"Neighborhood park with open sports area, fishing pond, sled hill, woods, and play equipment",Active,Centerville–Washington Park District,Centerville–Washington Park District,,475 Roselake Drive,13.047,Centerville,Montgomery,,,,,,,,Hiking trails,Fishing pond; drinking fountain; acquired 1975 & 1993,https://cwpd.org/parks/rosewood/,
Runyeon Park,Municipal Park,Neighborhood park with open space and local access,Active,City of Miamisburg,City of Miamisburg,,1144 Orchard Dr.,,Miamisburg,Montgomery,,,None,,None,None,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Sand Ridge Prairie Conservation Area,Park District Conservation Area,Sand and gravel soils from glacial outwash; supports prairie and savanna species; MetroParks manages prairie restoration and invasive species removal.,Active,,Five Rivers MetroParks,,,5,Dayton,Montgomery,,,None,,None,None,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,
Sandalwood Playground,Municipal Park,No listed amenities,Active,City of Dayton,City of Dayton,,"Sandalwood Dr., Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,,
Schoolhouse Park,Park District Park,"Community park with stadiums, courts, playground, paved trails, shelter, and restrooms",Active,Centerville–Washington Park District,Centerville–Washington Park District,,1875 Nutt Rd.,35.535,Centerville,Montgomery,,,,,,,,Paved multi-use trail (.75 mile),AED; pickleball; lacrosse; historic schoolhouse site,https://cwpd.org/parks/schoolhouse/,
Seger Park,Municipal Park,Small community park with gazebo and landscaped grounds,Active,City of Vandalia,City of Vandalia,,"101–199 S Perry St, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8904,-84.1984",,None,,None,None,,,,https://vandaliaohio.org/Facilities/Facility/Details/Seger-Park-8,
Senior Parkway,Municipal Park,Civic greenspace along Pearl Street,Active,City of Miamisburg,City of Miamisburg,,25 W. Pearl St.,,Miamisburg,Montgomery,,,None,,None,None,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Shafor Park,Municipal Park,"Community park with playground, courts, picnic shelter, and open green space",Active,City of Oakwood,City of Oakwood,,181 Patterson Rd.,,Oakwood,Montgomery,,,None,,None,None,,,Primary community park with multiple recreation amenities.,,
Shellabarger Park,Municipal Park,"Community park with walking path, playground, courts, soccer fields, and picnic amenities",Active,City of Riverside,City of Riverside,,"East of 5985 Burkhardt Road, Riverside, OH 45431",20,Riverside,Montgomery,,,None,,None,None,0.65,Playground;Basketball Court;Volleyball Court;Soccer Field;Walking Path;Picnic Shelter;Restroom;Water Fountain;Grill,,https://cms3.revize.com/revize/riverside/Parks%20&%20Recreation%20Amenities.pdf?t=202508061644210&t=202508061644210,
Sheridan Park,Municipal Park,Playground; basketball court; open green space; picnic tables,Active,City of Dayton,City of Dayton,,"1030 Harvard Blvd., Dayton, OH 45406",,Dayton,Montgomery,"39.7830,-84.2280",,None,,None,None,,,,https://www.mypacer.com/parks/165643/sheridan-park-dayton,
Shiloh Park,Municipal Park,"Neighborhood park with green space, shelter, and recreation amenities",Active,Harrison Township,Harrison Township,,"Markey Rd near Philadelphia Dr, Dayton, OH 45415",9,Harrison Township,Montgomery,"39.8098,-84.2497",,None,,None,None,,,Often mislisted online as “Shiloh Springs Park.”,https://harrisontownship.org/services/parks-recreation/,
Shiloh Woods Conservation Area,Park District Conservation Area,Large forest conservation area,Active,,Five Rivers MetroParks,,,385,Dayton,Montgomery,,,None,,None,None,,,,,
Shullgate Park,Municipal Park,Neighborhood park with playground and open field,Active,City of Huber Heights,City of Huber Heights,,"6045 Shull Rd, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,None,,None,,,,,https://huberheights.org,
Silvercreek Park,Park District Park,Neighborhood park with paved multi-use trail connecting Holes Creek and Silvercreek Parks; 3 bridge crossings; regional trail connections,Active,Centerville–Washington Park District,Centerville–Washington Park District,,9369 Yankee Street,8.969,Centerville,Montgomery,,,,,,,,Paved multi-use trail (10' wide),Clean Ohio Trails grant; opened 2016; acquired 1979,https://cwpd.org/parks/silvercreek/,
Simms Park,Municipal Park,Neighborhood greenspace,Active,City of Miamisburg,City of Miamisburg,,King Richard Pkwy.,,Miamisburg,Montgomery,,,None,,None,None,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Sinclair Park,Municipal Park,"Community park with playground, ballfields, and open space",Active,Harrison Township,Harrison Township,,"685 Shiloh Springs Rd, Dayton, OH 45415",19,Harrison Township,Montgomery,"39.8090,-84.2608",,None,,None,None,,,,https://harrisontownship.org/services/parks-recreation/,
Sixth & Pearl Playlot,Municipal Park,Small neighborhood playlot,Active,City of Miamisburg,City of Miamisburg,,Sixth & Pearl St.,,Miamisburg,Montgomery,,,None,,None,None,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Smith Gardens,Municipal Park,Formal public garden with landscaped beds and pathways,Active,City of Oakwood,City of Oakwood,,799 Oakwood Ave.,,Oakwood,Montgomery,,,None,,None,None,,,Signature formal garden maintained by the city.,,
Soccer Complex,Municipal Park,Large athletic complex with multiple soccer fields,Active,City of Miamisburg,City of Miamisburg,,4350 Medlar Rd.,,Miamisburg,Montgomery,,,None,,None,None,,,Athletic facility.,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Southdale Park,Municipal Park,Playground; Habitat Environmental Center; trails; picnic areas,Active,City of Kettering,City of Kettering,,"3036 Bellflower St., Kettering, OH 45409",8,Kettering,Montgomery,"39.6950,-84.1695",,None,,None,None,,,,https://www.playkettering.org/southdale-park/,
Southern Hills Park,Municipal Park,Village-themed playground; courts; picnic areas; walking path,Active,City of Kettering,City of Kettering,,"1545 Sacramento Dr., Kettering, OH 45429",2,Kettering,Montgomery,"39.7164,-84.1640",,None,,None,None,,,,https://www.playkettering.org/southern-hills-park/,
Sports Complex,Municipal Park,Outdoor sports and fitness complex with turf area and training features,Active,City of Vandalia,City of Vandalia,,"1101–1111 Stonequarry Rd, Dayton/Vandalia, OH 45414",100,Vandalia,Montgomery,"39.8860,-84.2000",,None,,None,None,,,,https://vandaliaohio.org/Facilities/Facility/Details/Sports-Complex-11,
Spring Run – Former Larch Tree Golf Course Parcel,Park District Conservation Area,"A 190-acre former golf course restored to conservation land with grasslands, riparian buffers, and early successional habitat; part of Spring Run Conservation Area.",Active,,Five Rivers MetroParks,,"2765 N Snyder Rd, Dayton, OH 45426",190,,Montgomery,"39.8180,-84.3430",,None,,None,None,,,Part of Spring Run Conservation Area.,https://www.metroparks.org/places-to-go/spring-run/,
Spring Run Conservation Area,Park District Conservation Area,"A 550-acre MetroParks conservation complex including the Great Miami Mitigation Bank and former Larch Tree Golf Course parcel; restored wetlands, riparian corridors, and grasslands.",Active,,Five Rivers MetroParks,,"2765 N Snyder Rd, Dayton, OH 45426",550,,Montgomery,"39.8180,-84.3430",,None,,None,None,,,Contains Great Miami Mitigation Bank and Larch Tree parcels; adjacent to Sycamore State Park.,https://www.metroparks.org/places-to-go/spring-run/,
St. Margaret’s Park,Municipal Park,Playground; picnic tables; restrooms; water availability,Active,City of Dayton,City of Dayton,,"3500 Park Overlook Dr., Dayton, OH 45417",,Dayton,Montgomery,"39.7440,-84.2450",,None,,None,None,,,,https://www.daytonohio.gov/Facilities/Facility/Details/St-Margarets-Park-Shelter-21,
Stanley Jones Park,Municipal Park,Community park with open recreation space and athletic use,Active,Village of New Lebanon,Village of New Lebanon,,"198 S Clayton Rd, New Lebanon, OH 45345",,New Lebanon,Montgomery,"39.7417,-84.3948",,None,,None,None,,,Recreation fields; open space,https://www.newlebanonoh.com,
Stansel Park,Park District Park,Neighborhood park in Sweeney Place featuring a restored springhouse foundation from the early 1800s,Active,Centerville–Washington Park District,Centerville–Washington Park District,,1304 Sarah Freeman Drive,3.546,Centerville,Montgomery,,,None,,,,,,Named for the Henry Stansel family; springhouse foundation preserved; acquired 2008,https://cwpd.org/parks/stansel/,
State Farm Park,Municipal Park,Ball fields; playground; shelter; open fields; parking,Active,City of Kettering,City of Kettering,,"2510 Blackhawk Dr., Kettering, OH 45420",31.6,Kettering,Montgomery,"39.6890,-84.1280",,None,,None,None,,,,https://www.playkettering.org/state-farm-park/,
Stewart Street Bikeway Access,Trail Access Point,Bikeway access node along Great Miami River Trail,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Stewart St. Bridge, Dayton, OH",,Dayton,Montgomery,,,Bikeway Access Point,Great Miami River Trail,None,Access Point,,,,,
Stewart Street Green,Municipal Park,No listed amenities,Active,City of Dayton,City of Dayton,,"Stewart St., Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,,
Stillwater Bend Natural Area,Park District Conservation Area,Undeveloped natural area along Stillwater River,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Siebenthaler Ave., Dayton, OH",,,Montgomery,"39.0,-84.0",,None,,None,None,,,Undeveloped MetroParks holding,,
Stillwater River Access (MetroParks),Fishing Access,River access point managed by MetroParks,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Riverside Dr., Dayton, OH",,,Montgomery,,,Yes,,,,,,River access,,
Stillwater River Trail Corridor (MetroParks),Controversial,Riparian bikeway corridor along the Stillwater River,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Along Stillwater River, Montgomery County",,,Montgomery,,,None,,None,None,,,Part of regional bikeway network,,
Stoney Crest Trails & Pavilions,Municipal Park,Walking trails and pavilions within the Stoney Crest neighborhood,Active,City of Union,City of Union,,Stoney Crest neighborhood,,Union,Montgomery,,,None,,None,None,,,,https://www.unionoh.org/1257/Places-to-Play,
Stringtown Park,Park District Park,Neighborhood park with sled hill and play equipment,Active,Centerville–Washington Park District,Centerville–Washington Park District,,9191 Woodstream Lane,4.168,Centerville,Montgomery,,,,,,,,Informal natural trails,Picnic tables; historic Stringtown context; acquired 1978,https://cwpd.org/parks/stringtown/,
Stroop Road Green,Municipal Park,No listed amenities,Active,City of Dayton,City of Dayton,,"Stroop Rd., Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,,
Stubbs Park,Municipal Park,"Large community park with amphitheater, Veterans Memorial Plaza, walking trails, playground, inline skating rink, cricket pitch, and disc golf course",Active,City of Centerville,City of Centerville,,255 W. Spring Valley Pike,60,Centerville,Montgomery,,,,,,,,Hiking/walking trails,Renovated 2025; amphitheater improvements,https://www.centervilleohio.gov/233/Stubbs-Park,
Sunflower Park,Municipal Park,Neighborhood park with playground and open space,Active,City of Miamisburg,City of Miamisburg,,2432 Sunflower Dr.,,Miamisburg,Montgomery,,,None,,None,None,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Sunrise MetroPark,Park District Park,Small riverfront overlook park,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,3,Dayton,Montgomery,,,Yes,,,,,,Overlook,,
Sycamore State Park,State Park,"Large state‑managed natural area featuring forest, prairie, ponds, hiking trails, horse trails, hunting areas, and diverse wildlife habitat.",Open,Ohio Department of Natural Resources,,,"4675 Diamond Mill Rd, Dayton, OH 45426",2628,Trotwood,Montgomery,"39.8139,-84.3437",,Yes,,,,,,,https://ohiodnr.gov/parks/sycamore-state-park; https://www.trotwoodchamber.org/recreation.php,
Sycamore State Park East Access Trailhead,Trailhead,Informal eastern access point to Sycamore State Park via roadside pull-off,Active,Ohio Department of Natural Resources,,,"Near 4800 Diamond Mill Rd, Dayton, OH 45417",,Jefferson Township,Montgomery,"39.7708,-84.3301",,Yes,,,,,,Verified roadside access point to state park trail system; Great Miami River Trail feeder segment.,,
Sycamore Trails Aquatic Center,Recreation Facility,"Outdoor municipal pool complex with slides, lap lanes, and leisure pool",Active,City of Miamisburg,City of Miamisburg,,400 S. Heincke Rd.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf; https://www.playmiamisburg.com/parks_facilities/parks/,
Sycamore Trails Park,Municipal Park,"Large multi-use park with trails, shelters, and nature areas",Active,City of Miamisburg,City of Miamisburg,,1681 Maue Rd.; 214 S. Heincke Rd.,,Miamisburg,Montgomery,,,None,,None,None,,,Two official entrances; unified park entity.,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Tait Park,Municipal Park,Fire-house playground; shelter; courts; picnic areas,Active,City of Kettering,City of Kettering,,"3750 Tait Rd., Kettering, OH 45429",9.1,Kettering,Montgomery,"39.6860,-84.2250",,None,,None,None,,,,https://www.playkettering.org/tait-park/,
Tait Station Low Dam Access,Fishing Access,River access area near historic low dam,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Tait Rd., Dayton, OH",,,Montgomery,,,Yes,,,,,,River access,,
Taylorsville Dam Recreation Area,Army Corps of Engineers Property,Recreation area with river access and open fields; earthen flood-control dam (1921),Active,,U.S. Army Corps of Engineers; Miami Conservancy District,,"Near Taylorsville Rd., Vandalia, OH 45377",,Butler Township,Montgomery,"39.874444, -84.1619444",,,,,,,,Part of Miami Conservancy District flood control system,https://vandaliaohio.org; https://www.mcdwater.org/flood-protection/taylorsville-dam,
Taylorsville MetroPark,Park District Park,"Trails, river access, Tadmor ruins, ponds, Buckeye Trail, camping",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"2101 US-40, Vandalia, OH 45377",1300,Vandalia,Montgomery,,,None,,,,,,,https://www.metroparks.org/places-to-go/taylorsville/,
The Rat Skate Park,Public School Property,"State-of-the-art skate park with ramps, rails, pump track, and lighting; maintained by Northridge Schools students",Active,Northridge Local Schools,Northridge Local Schools,,"On Northridge Schools campus, 2011 Timber Ln, Dayton, OH 45414",,Harrison Township,Montgomery,"39.8379,-84.1942",,No,,,,,,,https://harrisontownship.org/services/parks-recreation/,
Thomas A. Cloud Park,Municipal Park,"Largest city park; shelters, fields, trails, playgrounds",Active,City of Huber Heights,City of Huber Heights,,"4707 Brandt Pike, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,None,,,,,,,https://huberheights.org,
Townview Park,Municipal Park,Picnic shelter; playground; basketball court,Active,City of Trotwood,City of Trotwood,,"5280 Gardendale Ave, Trotwood, OH 45417",,Trotwood,Montgomery,"39.7406,-84.2872",,None,,None,None,,,Verified municipal park behind Townview Elementary,https://www.trotwoodchamber.org/recreation.php,
Trailways Park,Park District Park,Small neighborhood park serving as a resting spot for bicyclists along the Spring Valley Pike multi-use trail,Active,Centerville–Washington Park District,Centerville–Washington Park District,,1165 W. Spring Valley Pike,1,Centerville,Montgomery,,,None,,,,,,Acreage donated 2009 for CWPD’s 50th anniversary,https://cwpd.org/parks/trailways/,
Triangle Park,Municipal Park,Playground; ballfields; picnic shelter; restrooms; open green space,Active,City of Dayton,City of Dayton,,"1700 Embury Park Rd., Dayton, OH 45414",,Dayton,Montgomery,"39.785030,-84.199596",,None,,None,None,,,,https://www.daytonohio.gov/facilities/facility/details/triangleparkpavilion-37,
Trotwood Community & Cultural Arts Center,Recreation Facility,Indoor community facility with surrounding public greens,Active,City of Trotwood,City of Trotwood,,"4000 Lake Center Dr, Trotwood, OH 45426",,Trotwood,Montgomery,,,,,,,,,,https://trotwood.org,
Twin Creek Conservation Tract,Park District Conservation Area,"Forest, prairie, and riparian habitat in the Twin Creek watershed; supports high biodiversity.",Active,,Five Rivers MetroParks,,,,Germantown Area,Montgomery,,,None,,None,None,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,
Twin Creek MetroPark,Park District Park,"Large MetroPark with forests, prairies, ravines, Twin Creek corridor; includes former BSA Camp Hook",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"8502 Chamberlain Rd., Germantown, OH 45327",1000,Germantown,Montgomery,,,Yes,,,,,,Includes former Camp Charles R. Hook,https://www.metroparks.org/places-to-go/twin-creek/,
Twin Creek Park,Municipal Park,Baseball/softball field; basketball court,Active,City of Trotwood,City of Trotwood,,"2044 Twin Creek Dr, Trotwood, OH 45426",,Trotwood,Montgomery,"39.7803,-84.3001",,None,,None,None,,,Verified municipal park,https://www.trotwoodchamber.org/recreation.php,
Twin Creeks Park,Municipal Park,Neighborhood park with playground and greenspace,Active,City of Huber Heights,City of Huber Heights,,"4480 Leston Dr, Huber Heights, OH",,Huber Heights,Montgomery,,,None,,,,,,,https://huberheights.org,
Twin Valley Trail Corridor (MetroParks),Controversial,Long‑distance trail corridor connecting MetroParks,Active,Five Rivers MetroParks,Five Rivers MetroParks,,Between Germantown and Twin Creek MetroParks,,Germantown Area,Montgomery,,,None,,None,None,,,Regional trail corridor,,
Twin Valley Trail Spur,Controversial,Spur trail corridor connecting to Twin Valley Trail,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Conservancy Rd., Germantown, OH",,Germantown Area,Montgomery,,,None,,None,None,,,Spur corridor,,
Union & Old Salem Trail Spur,Bikeway Spur,Connector spur between Union and Old Salem Rd. bikeways,Active,City of Englewood,City of Englewood,,"Old Salem Rd., Englewood, OH 45322",,Englewood,Montgomery,"39.8700,-84.3070","86MR+H8 Englewood, Ohio",Bikeway Spur,,Connector,Connector,,,Part of the regional bikeway system.,,
Union & Old Salem Trail Spur,Trail Access Point,Small public trail spur connecting neighborhoods to regional bikeway,Active,Montgomery County,,,Old Salem Rd. at Union Blvd.,,Clayton,Montgomery,,,,,,,,,Neighborhood connector segment.,,
Union Community Park,Municipal Park,Flagship 25-acre park with ballfields and open green space,Active,City of Union,City of Union,,3280 Phillipsburg Union Rd.,25,Union,Montgomery,,,None,,None,None,,,,https://www.unionoh.org/1257/Places-to-Play,
Union Road Cemetery,Cemetery,Historic cemetery with open lawn and public walking access,Active,Jefferson Township,Jefferson Township,,"2200 Union Rd, Dayton, OH 45417",,Jefferson Township,Montgomery,"39.7489,-84.3082",,None,,None,None,,,Qualifies due to passive recreation and ecological value.,,
Upper Twin Conservation Area,Park District Conservation Area,Conservation land in the Twin Creek watershed,Active,,Five Rivers MetroParks,,,390,Germantown,Montgomery,,,None,,None,None,,,,,
Van Buren Park,Municipal Park,Playground; shelter; courts; picnic areas,Active,City of Kettering,City of Kettering,,"1450 Scottsdale Ave., Kettering, OH 45429",5.5,Kettering,Montgomery,"39.7030,-84.1590",,None,,None,None,,,,https://www.playkettering.org/van-buren-park/,
Vandalia Recreation Center,Recreation Center,"58,000 sq ft facility with fitness center, indoor waterpark, gym, track, climbing wall",Active,City of Vandalia,City of Vandalia,,"1111 Stonequarry Rd, Vandalia, OH 45414",,Vandalia,Montgomery,"39.8468,-84.1918",,,,,,,,,https://vandaliaohio.org/236/Recreation-Center,
Vandalia Senior Center,Recreation Facility,"Community senior center with activity rooms, programs, events, and adjacent greenspace",Active,City of Vandalia,City of Vandalia,,"21 Tionda Dr S, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8902,-84.1980",,Yes,,,,,,,https://vandaliaohio.org,
Verona Village Park,Municipal Park,Ballfield; basketball court; playground; open greenspace,Active,Village of Verona,Village of Verona,,Unnamed access road off N State St (Plus Code: WG37+Q2),,Verona,Montgomery,"39.9100,-84.5320",,None,,None,None,,,,https://www.veronaohio.org,
Veterans Memorial,Municipal Park,Memorial plaza and civic greenspace,Active,City of Huber Heights,City of Huber Heights,,"Huber Heights, OH",,Huber Heights,Montgomery,,,None,,None,None,,,,,
Veterans Memorial Park,Municipal Park,"Community park with historic structures, gazebo, playground, courts, and pool",Active,City of Germantown,City of Germantown,,75 N Walnut St.,,Germantown,Montgomery,,,None,,None,None,,,,https://germantown.oh.us/parks-recreation/,
Veterans Memorial Park,Municipal Park,Memorial park with monuments and landscaped grounds,Active,City of Miamisburg,City of Miamisburg,,426 E. Central Ave.,,Miamisburg,Montgomery,,,None,,None,None,,,Formerly known as Library Park.,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Victory Park,Municipal Park,"Neighborhood park with play structure, paved walking path, and greenspace",Active,City of Vandalia,City of Vandalia,,"Cyril Ct / Clyde St / Attica St, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8865,-84.1965",,None,,None,None,,,,https://vandaliaohio.org/Facilities/Facility/Details/Victory-Park-13,
Village South Park,Park District Park,"Neighborhood park with courts, pickleball, play equipment, and shelter",Active,Centerville–Washington Park District,Centerville–Washington Park District,,411 North Village Drive,17.188,Centerville,Montgomery,,,,,,,,Informal paved paths,Adjacent to Primary Village North; acquired 1966,https://cwpd.org/parks/village-south/,
Wagon Trail Park,Park District Park,Neighborhood park with large open areas and play equipment,Active,Centerville–Washington Park District,Centerville–Washington Park District,,8450 Washington Village Drive,7.014,Centerville,Montgomery,,,,,,,,Informal play area,Grill; picnic tables; historic farm lane; acquired 1971,https://cwpd.org/parks/wagon-trail/,
Walnut Hills Park,Municipal Park,Playground; courts; restrooms; spray park; open green space,Active,City of Dayton,City of Dayton,,"2340 Wayne Ave., Dayton, OH 45420",7,Dayton,Montgomery,"39.7445,-84.1003",,None,,None,None,,,,https://www.daytonohio.gov/facilities/facility/details/Walnut-Hills-Park-Shelter-33,
Walther Park,Municipal Park,Natural-themed playground; courts; picnic areas; benches; drinking fountains,Active,City of Kettering,City of Kettering,,"4421 Overland Trail, Kettering, OH 45429",4.5,Kettering,Montgomery,"39.6869,-84.1693",,None,,None,None,,,,https://www.playkettering.org/walther-park/,
Ward Field,Municipal Park,Athletic field providing organized and informal sports space,Active,City of Englewood,City of Englewood,,"Hoke Road, Englewood, Ohio 45322",,Englewood,Montgomery,,,None,,,,,,,https://www.englewood.oh.us/189/Parks-Playgrounds,
Ward Park,Municipal Park,Small basketball court and playground,Active,City of Brookville,City of Brookville,,"115 Sycamore St., Brookville, OH",,Brookville,Montgomery,,,None,,,,,,Neighborhood park with basic amenities,,
Warner Park,Municipal Park,"Neighborhood park with benches, playground equipment, paved walkway, and greenspace",Active,City of Vandalia,City of Vandalia,,"405 Allenhurst Ave, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8858,-84.1937",,None,,None,None,,,,https://vandaliaohio.org/Facilities/Facility/Details/Warner-Park-14,
Washington Park,Municipal Park,Playground and open green space with shaded areas,Active,City of Dayton,City of Dayton,,"Dayton, OH 45403",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,https://www.mapquest.com/us/ohio/washington-park-652512335,
Washington Township RecPlex Grounds,Recreation Grounds,Recreation center grounds with open space,Active,Washington Township,Washington Township,,"895 Miamisburg‑Centerville Rd., Dayton, OH 45459",33,Washington Township,Montgomery,,,No,,,,,,,,
Waterbury Woods Park,Park District Park,"Neighborhood park with open sports area, sled hill, and play equipment",Active,Centerville–Washington Park District,Centerville–Washington Park District,,1250 W. Social Row Road,6.607,Centerville,Montgomery,,,,,,,,Informal play area; sled hill,Donated 2002; former leaf dump site,https://cwpd.org/parks/waterbury-woods/,
Watkins Glen Park,Park District Park,Neighborhood park divided by a creek with play equipment and open area,Active,Centerville–Washington Park District,Centerville–Washington Park District,,825 Watkins Glen Drive,5.712,Centerville,Montgomery,,,,,,,,Informal natural trails,Stream; historic homestead nearby; acquired via transfer/donation,https://cwpd.org/parks/watkins-glen/,
Wax Park,Municipal Park,"Community park with playgrounds, shelters, ballfields, and fishing pond",Active,City of Moraine,City of Moraine,,3800 Main Street,38,Moraine,Montgomery,,,None,,None,None,,,Largest and most popular Moraine park.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052,
Weatherstone Park,Park District Park,"Neighborhood park with climber, slides, swings, and tire swing",Active,Centerville–Washington Park District,Centerville–Washington Park District,,10998 Pennfield Road; 164 Summerford Place,5.099,Centerville,Montgomery,,,,,,,,Informal play area,Picnic tables; acquired 2006,https://cwpd.org/parks/weatherstone/,
Wegerzyn Gardens MetroPark,Park District Park,"Botanical gardens, children’s garden, river corridor trails",Active,Five Rivers MetroParks,Five Rivers MetroParks,,,88,Dayton,Montgomery,,,Yes,,,,,,Botanical gardens,,
Weidner Park,Municipal Park,"Picnic shelter, restrooms, playground, courts, and ballfield",Active,City of West Carrollton,City of West Carrollton,,150 E. Central Ave.,,West Carrollton,Montgomery,,,None,,None,None,,,Large multi-use community park with diverse recreation facilities.,,
Welcome Park,Municipal Park,"Bike playground with pump tracks, flow trails, and multi-use trail features",Active,City of Dayton,City of Dayton,,"1437 S. Edwin C. Moses Blvd., Dayton, OH 45402",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,https://daytonbikeyard.com/,
Wellfield Park,Municipal Park,Open space and recreation area on River Road,Active,City of Union,City of Union,,River Rd.,,Union,Montgomery,,,None,,,,,,,https://www.unionoh.org/1257/Places-to-Play,
Wenger Village Park,Municipal Park,Neighborhood park,Active,City of Englewood,City of Englewood,,"Wenger Rd., Englewood, OH",,Englewood,Montgomery,,,None,,None,None,,,,,
